user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
202****182,2分,一般,景色2,趣味2,性价比2,排队好久好久好久～，管理也不知道怎么说，安检过了还在排大长队，秩序也很乱。,IP属地:上海,,,,,东方明珠差评
匿名用户,2分,一般,景色4,趣味3,性价比2,工作人员态度不好，体验差。,IP属地:浙江,,,,,东方明珠差评
M51****5530,1分,不佳,景色1,趣味1,性价比1,特饮就是坑人的，都不知道去哪换，下次肯定不买乱七八糟的增值服务了,IP属地:上海,,,,,东方明珠差评
M38****9828,1分,不佳,景色5,趣味5,性价比5,携程黄牛每个人多收100多门票钱，建议直接小程序放票买或者现场买。,IP属地:上海,,,,,东方明珠差评
M32****0999,1分,不佳,景色1,趣味1,性价比1,套票里面的携程特饮没有兑现。也没有提示在那个位置领取。大家千万别踩坑。,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色5,趣味5,性价比1,垃圾商家 **导游 就是订的时间和实际玩的时间差3-4小时 而且没有短信提示 只能问客服 这个“开心之旅”旅行社好辣鸡 拿蓝旗子的女导游也是 一来就板着脸 让消费者爱玩不玩 绝了 风景很好 但是商家从头烂到尾 推荐游玩 但是千万不要定这个商家的,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色3,趣味2,性价比1,借助热度，夸张宣传！工作人员对游客服务态度不友好，没有耐心，敷衍了事，感觉这199元花的真的不值！陌生的游客首次光顾，体验感很是不好！服务有待提高！,IP属地:新疆,,,,,东方明珠差评
zl7676,1分,不佳,景色1,趣味1,性价比1,不好玩白花钱,IP属地:内蒙古,,,,,东方明珠差评
温度的冰,1分,不佳,景色1,趣味1,性价比1,非常差,IP属地:山东,,,,,东方明珠差评
182****3645,1分,不佳,景色5,趣味1,性价比1,太差了，推婴儿车过去很不方便，到处都没有无障碍通道，去旋转餐厅吃个饭，电梯也上不去，半天没有人管，,IP属地:上海,,,,,东方明珠差评
118****771,1分,不佳,景色1,趣味1,性价比1,携程坑人，老人票退钱,IP属地:上海,,,,,东方明珠差评
M23****7124,2分,一般,景色2,趣味1,性价比1,餐食质量差。,IP属地:四川,,,,,东方明珠差评
M47****6944,1分,不佳,景色1,趣味1,性价比1,大家买的时候注意一下时间要求，不然退不了哦,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,自助餐日料区太抠门了，大家都在抱怨没东西，刺身一直没有。,IP属地:上海,,,,,东方明珠差评
匿名用户,2分,一般,景色4,趣味3,性价比2,不太理解为什么要把散客介绍给旅行团，不介意身份信息泄露的可以来，建议通过官方渠道预约,IP属地:上海,,,,,东方明珠差评
M41****9962,1分,不佳,景色1,趣味3,性价比1,200元的东方明珠加黄浦江游船，因为台风游船取消了，只退款20元，这差价也太悬殊了。,IP属地:上海,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,脏乱差，不值得上去，玻璃脏的啥也看不清，地上到处是垃ji，有小孩在玻璃上蹦跶都没人管，和几年前上去不敢向下望的感受完全不一样，真的太太太太失望了,IP属地:浙江,,,,,东方明珠差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,就是人挤人,IP属地:山东,,,,,东方明珠差评
135****5658,2分,一般,景色2,趣味2,性价比2,不推荐，上海可替代的景观很多了，环境也比这里好。,IP属地:上海,,,,,东方明珠差评
_WeCh****58204,1分,不佳,景色2,趣味1,性价比1,人太多  排队太久 不值得,IP属地:澳大利亚,,,,,东方明珠差评
z16161616,1分,不佳,景色1,趣味1,性价比1,作为本地人，也是借着女儿暑假作业去了所谓的上海地标，真的是脏乱差，空调无力，无人管理，厕所肮脏,IP属地:上海,,,,,东方明珠差评
_WeCh****498448,1分,不佳,景色1,趣味2,性价比2,真的没有必要来这个地方 而且下电梯的时候特别热！！！没有空调,IP属地:辽宁,,,,,东方明珠差评
