user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
M53****9017,1分,不佳,景色1,趣味1,性价比1,"买的88元的票，下午14点的，没看见讲解员。只有自己参观。
值88元吗。
不满意。",IP属地:北京,,,,,天坛公园差评
M24****5607,1分,不佳,景色1,趣味1,性价比1,祈年殿没有开，也不提前写上,IP属地:北京,,,,,天坛公园差评
_WeCh****946178,1分,不佳,景色1,趣味1,性价比1,携程太垃圾了，提前21天订成功景点门票，然后到景点了，告诉我没票，我的机票和住宿费用谁来承担，典型的消费欺诈。已在315上举报携程公司。,IP属地:四川,,,,,天坛公园差评
M34****0418,1分,不佳,景色1,趣味1,性价比1,下午的票，上午居然退不了，恭王府当场都可以退,IP属地:湖北,,,,,天坛公园差评
M34****487,1分,不佳,景色3,趣味1,性价比1,讲解的很一般,IP属地:北京,,,,,天坛公园差评
M27****8249,2分,一般,景色5,趣味3,性价比1,评价一般般是给人工讲解导游的，因为我带娃还有行李箱，不太适合听讲解，讲解2.5个小时，明明是个很小的公园，能这么凑时间也是历史知识渊博了，耽误不起，先走了，也不能退钱，下次直接买公园票就可以。导游进去之后火速前进，直到消失在我眼前，打电话又找她……另外说天坛公园，天坛很雄伟，景区不错，就是只有一处卖水的，忘加强更，,IP属地:山东,,,,,天坛公园差评
138****6492,1分,不佳,景色1,趣味1,性价比1,导游声音似蚊子，崩溃！只能离队自己玩了,IP属地:北京,,,,,天坛公园差评
_WeCh****357158,1分,不佳,景色1,趣味1,性价比1,迟到后自己入场也没有提供接下去的讲解服务。,IP属地:北京,,,,,天坛公园差评
138****3718,1分,不佳,景色3,趣味3,性价比3,按照预定时间晚到了30分钟，没有讲解了，去天坛完全不用买联票，即使买了联票也无需讲解，是一种浪费,IP属地:北京,,,,,天坛公园差评
M44****1361,1分,不佳,景色4,趣味4,性价比1,讲解员看不到也找不到,IP属地:北京,,,,,天坛公园差评
M57****583,2分,一般,景色5,趣味5,性价比2,导游讲解得差，根本不需要。自己直接进来买票就好。,IP属地:北京,,,,,天坛公园差评
M50****7163,1分,不佳,景色4,趣味1,性价比1,每个点都在装修只能在外面看建议到现场买票20一人，网上买贵很多。,IP属地:北京,,,,,天坛公园差评
